num_threads,vector_size,mfc/s,counter
2, 8000000 ,100.229," "
3, 8000000 ,141.103," "
4, 8000000 ,161.78," "
5, 8000000 ,210.893," "
6, 8000000 ,241.488," "
7, 8000000 ,275.378," "
8, 8000000 ,295.443," "
9, 8000000 ,331.757," "
10, 8000000 ,218.771," "
11, 8000000 ,385.97," "
12, 8000000 ,406.649," "
13, 8000000 ,404.531," "
14, 8000000 ,267.103," "
15, 8000000 ,436.514," "
16, 8000000 ,295.268," "
1, 9000000 ,64.2756," "
2, 9000000 ,107.379," "
3, 9000000 ,118.479," "
4, 9000000 ,180.448," "
5, 9000000 ,214.951," "
6, 9000000 ,236.767," "
7, 9000000 ,275.862," "
8, 9000000 ,310.035," "
9, 9000000 ,334.374," "
10, 9000000 ,366.524," "
11, 9000000 ,391.645," "
12, 9000000 ,405.844," "
13, 9000000 ,443.503," "
14, 9000000 ,466.95," "
15, 9000000 ,489.503," "
16, 9000000 ,305.478," "
1, 10000000 ,63.9578," "
2, 10000000 ,109.459," "
3, 10000000 ,145.142," "
4, 10000000 ,184.047," "
5, 10000000 ,220.575," "
6, 10000000 ,252.34," "
7, 10000000 ,267.795," "
8, 10000000 ,315.537," "
9, 10000000 ,347.802," "
10, 10000000 ,353.769," "
11, 10000000 ,387.762," "
12, 10000000 ,426.185," "
13, 10000000 ,441.384," "
14, 10000000 ,482.509," "
15, 10000000 ,498.678," "
16, 10000000 ,515.517," "
1, 1000000 ,42.1053," "
2, 1000000 ,68.6295," "
3, 1000000 ,92.7558," "
4, 1000000 ,106.508," "
5, 1000000 ,116.131," "
6, 1000000 ,126.183," "
7, 1000000 ,135.704," "
8, 1000000 ,143.678," "
9, 1000000 ,101.76," "
10, 1000000 ,153.941," "
11, 1000000 ,139.587," "
12, 1000000 ,160.772," "
13, 1000000 ,116.686," "
14, 1000000 ,69.0322," "
15, 1000000 ,131.32," "
16, 1000000 ,71.0631," "
1, 2000000 ,44.0995," "
2, 2000000 ,77.3874," "
3, 2000000 ,106.752," "
4, 2000000 ,133.12," "
5, 2000000 ,153.917," "
6, 2000000 ,168.762," "
7, 2000000 ,190.858," "
8, 2000000 ,203.231," "
9, 2000000 ,200.24," "
10, 2000000 ,207.297," "
11, 2000000 ,226.526," "
12, 2000000 ,249.408," "
13, 2000000 ,253.872," "
14, 2000000 ,236.155," "
15, 2000000 ,247.77," "
16, 2000000 ,132.048," "
1, 3000000 ,46.9917," "
2, 3000000 ,86.2069," "
3, 3000000 ,115.794," "
4, 3000000 ,142.606," "
5, 3000000 ,172.632," "
6, 3000000 ,197.55," "
7, 3000000 ,213.904," "
8, 3000000 ,232.396," "
9, 3000000 ,153.555," "
10, 3000000 ,263.644," "
